difficulty,winrate,pickPolicy,carryCap,run,period,netWorth
1,1,synergy,off,16,10,-3586.00
1,1,synergy,off,16,11,-2720.69
1,1,synergy,off,16,12,-1892.22
1,1,synergy,off,16,13,1357.51
1,1,synergy,off,16,14,3507.59
1,1,synergy,off,16,15,4454.94
1,1,synergy,off,16,16,3783.75
1,1,synergy,off,16,17,4468.06
1,1,synergy,off,16,18,8119.88
1,1,synergy,off,16,19,13186.09
1,1,synergy,off,16,20,11097.95
1,1,synergy,off,16,21,12382.15
1,1,synergy,off,16,22,16611.55
1,1,synergy,off,16,23,17791.55
1,1,synergy,off,16,24,18080.03
1,1,synergy,off,16,25,26619.10
1,1,synergy,off,16,26,19485.89
1,1,synergy,off,16,27,19515.89
1,1,synergy,off,16,28,19680.89
1,1,synergy,off,16,29,21654.97
1,1,synergy,off,16,30,29149.79
1,1,synergy,off,16,31,34704.68
1,1,synergy,off,16,32,36060.68
1,1,synergy,off,16,33,63595.52
1,1,synergy,off,16,34,63145.52
1,1,synergy,off,16,35,65718.52
1,1,synergy,off,16,36,36638.52
1,1,synergy,off,16,37,42078.52
1,1,synergy,off,16,38,47733.52
1,1,synergy,off,16,39,47808.52
1,1,synergy,off,16,40,46338.52
1,1,synergy,off,17,1,-4980.00
1,1,synergy,off,17,2,-4962.29
1,1,synergy,off,17,3,-4880.18
1,1,synergy,off,17,4,-4857.50
1,1,synergy,off,17,5,-4912.17
1,1,synergy,off,17,6,-4597.99
1,1,synergy,off,17,7,-4511.53
1,1,synergy,off,17,8,-3856.26
1,1,synergy,off,17,9,-3851.26
1,1,synergy,off,17,10,-3700.48
1,1,synergy,off,17,11,-4026.32
1,1,synergy,off,17,12,-4027.91
1,1,synergy,off,17,13,-3966.61
1,1,synergy,off,17,14,-3430.52
1,1,synergy,off,17,15,-1925.40
1,1,synergy,off,17,16,3575.44
1,1,synergy,off,17,17,21593.36
1,1,synergy,off,17,18,58227.19
1,1,synergy,off,17,19,58312.93
1,1,synergy,off,17,20,34691.05
1,1,synergy,off,17,21,39046.89
1,1,synergy,off,17,22,38400.89
1,1,synergy,off,17,23,45904.33
1,1,synergy,off,17,24,28441.83
1,1,synergy,off,17,25,31927.77
1,1,synergy,off,17,26,37179.95
1,1,synergy,off,17,27,31080.89
1,1,synergy,off,17,28,33304.33
1,1,synergy,off,17,29,42859.33
1,1,synergy,off,17,30,44681.52
1,1,synergy,off,17,31,56196.52
1,1,synergy,off,17,32,46793.70
1,1,synergy,off,17,33,47570.45
1,1,synergy,off,17,34,70267.43
1,1,synergy,off,17,35,70227.43
1,1,synergy,off,17,36,65911.87
